iter	Passed	Remaining
0	53	10550
1	58	5806
2	64	4207
3	70	3437
4	77	3040
5	83	2705
6	89	2460
7	93	2254
8	98	2093
9	103	1966
10	107	1855
11	112	1768
12	117	1690
13	122	1629
14	128	1584
15	132	1523
16	137	1478
17	142	1438
18	146	1396
19	150	1357
20	155	1324
21	161	1303
22	164	1268
23	168	1238
24	172	1205
25	176	1184
26	181	1165
27	186	1143
28	190	1124
29	194	1104
30	198	1080
31	202	1061
32	206	1043
33	209	1024
34	213	1007
35	217	992
36	223	982
37	227	968
38	230	952
39	234	937
40	237	921
41	240	906
42	244	892
43	248	882
44	253	871
45	256	859
46	260	848
47	264	838
48	269	829
49	273	820
50	278	812
51	283	807
52	288	799
53	292	790
54	297	783
55	302	777
56	307	771
57	312	765
58	318	761
59	323	754
60	326	744
61	331	737
62	337	733
63	341	726
64	346	719
65	351	713
66	356	708
67	360	700
68	365	693
69	369	686
70	373	679
71	378	672
72	382	666
73	387	659
74	391	653
75	397	647
76	401	641
77	405	634
78	409	627
79	413	620
80	418	614
81	422	607
82	425	599
83	428	592
84	431	584
85	435	577
86	439	570
87	442	563
88	445	555
89	449	549
90	453	543
91	457	537
92	461	531
93	465	525
94	470	519
95	474	513
96	478	507
97	482	501
98	487	497
99	493	493
100	497	487
101	500	481
102	505	476
103	509	470
104	513	464
105	518	459
106	524	456
107	530	451
108	534	446
109	540	442
110	544	436
111	549	431
112	554	426
113	558	421
114	563	416
115	568	411
116	572	406
117	579	402
118	585	398
119	591	394
120	595	388
121	600	383
122	605	379
123	611	375
124	617	370
125	622	365
126	627	360
127	633	356
128	638	351
129	642	345
130	647	340
131	652	336
132	656	330
133	661	325
134	665	320
135	670	315
136	675	310
137	679	305
138	683	300
139	688	294
140	692	289
141	696	284
142	700	279
143	705	274
144	708	268
145	712	263
146	715	257
147	719	252
148	724	247
149	727	242
150	731	237
151	735	232
152	739	227
153	743	222
154	746	216
155	750	211
156	754	206
157	759	201
158	763	196
159	768	192
160	772	187
161	777	182
162	780	177
163	784	172
164	788	167
165	794	162
166	797	157
167	801	152
168	805	147
169	809	142
170	812	137
171	816	132
172	821	128
173	825	123
174	828	118
175	832	113
176	836	108
177	840	103
178	844	99
179	848	94
180	851	89
181	855	84
182	860	79
183	864	75
184	868	70
185	872	65
186	875	60
187	880	56
188	884	51
189	888	46
190	893	42
191	896	37
192	900	32
193	904	27
194	908	23
195	912	18
196	916	13
197	921	9
198	925	4
199	929	0
